종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
035760,CJ오쇼핑,"194,200","6,200","3.30","194,800","194,200","39,526","7,624,971,700","190,000","195,700","189,200","5,000",원(KRW),"6,215,518","1,207,053,595,600",
001045,CJ우,"76,800","300","0.39","76,900","76,800","3,738","285,971,300","77,200","77,200","76,200","5,000",원(KRW),"2,260,223","173,585,126,400",
097950,CJ제일제당,"343,500","1,500","0.44","343,500","343,000","30,420","10,405,018,000","340,000","344,000","340,000","5,000",원(KRW),"13,164,998","4,522,176,813,000",
097955,CJ제일제당 우,"154,000","30","0.00","154,000","153,500","2,273","347,659,500","154,500","154,500","152,000","5,000",원(KRW),"1,327,433","204,424,682,000",
051500,CJ프레시웨이,"34,800","600","1.75","34,850","34,800","16,852","579,302,450","33,800","34,800","33,800","1,000",원(KRW),"11,871,586","413,131,192,800",
037560,CJ헬로비전,"9,490","200","2.15","9,490","9,420","75,502","710,338,770","9,320","9,550","9,310","2,500",원(KRW),"77,446,865","734,970,748,850",
058820,CMG제약,"3,540","130","3.81","3,540","3,535","618,648","2,170,824,785","3,420","3,545","3,420","500",원(KRW),"108,707,244","384,823,643,760",
023460,CNH,"1,500","20","1.35","1,500","1,495","73,936","109,411,540","1,475","1,500","1,465","2,500",원(KRW),"37,200,000","55,800,000,000",
065770,CS,"1,635","-35","2.10","1,650","1,635","43,490","71,542,155","1,670","1,685","1,615","500",원(KRW),"18,835,150","30,795,470,250",
083660,CSA 코스믹,"3,795","105","2.85","3,800","3,795","68,311","254,756,180","3,690","3,805","3,600","500",원(KRW),"19,747,641","74,942,297,595",
000590,CS홀딩스,"83,600","100","0.12","83,600","82,700","167","13,889,000","83,500","84,400","82,500","5,000",원(KRW),"1,154,482","96,514,695,200",
139130,DGB금융지주,"11,750","30","0.00","11,750","11,700","464,334","5,450,922,000","11,800","11,850","11,550","5,000",원(KRW),"169,145,833","1,987,463,537,750",
